second,avg_latency_ms_etcdv3_gotip,throughput_etcdv3_gotip,cumulative_throughput_etcdv3_gotip,avg_cpu_etcdv3_gotip,avg_memory_mb_etcdv3_gotip,avg_latency_ms_etcdv3_go1.6,throughput_etcdv3_go1.6,cumulative_throughput_etcdv3_go1.6,avg_cpu_etcdv3_go1.6,avg_memory_mb_etcdv3_go1.6,avg_latency_ms_etcdv3_go1.5,throughput_etcdv3_go1.5,cumulative_throughput_etcdv3_go1.5,avg_cpu_etcdv3_go1.5,avg_memory_mb_etcdv3_go1.5
0,24.185591,21479,21479,2.50,18.15,26.205165,7526,7526,2.86,20.81,24.496947,11063,11063,2.80,21.83
1,23.676323,41765,63244,52.00,72.03,25.480399,38148,45674,51.30,74.63,24.190815,39912,50975,52.96,75.52
2,27.947794,35478,98722,90.81,85.70,27.613328,35595,81269,90.71,85.53,26.240420,37478,88453,95.49,91.00
3,25.408223,38992,137714,123.28,97.93,28.937715,33908,115177,125.87,99.33,30.589553,32565,121018,129.76,102.19
4,26.605074,37140,174854,152.57,111.15,28.547624,34244,149421,153.68,109.94,30.140808,32290,153308,158.28,117.41
5,26.067876,38209,213063,176.78,126.49,30.036291,32981,182402,176.12,125.20,30.353117,33096,186404,182.69,125.87
6,26.401483,37547,250610,196.87,138.76,29.401003,33624,216026,195.90,134.11,32.260163,29901,216305,201.41,138.02
7,26.558519,37222,287832,214.28,156.31,30.002237,32413,248439,212.72,146.68,31.521615,31546,247851,218.71,149.67
8,26.852570,36926,324758,228.96,165.27,29.711380,33718,282157,227.23,157.14,29.984052,32250,280101,233.56,163.06
9,27.248106,36442,361200,241.72,177.84,31.380326,31425,313582,239.52,166.02,31.562175,32074,312175,246.46,170.14
10,27.056776,36695,397895,252.92,194.26,30.465347,31804,345386,250.87,179.83,30.426981,32325,344500,258.56,183.20
11,27.032453,36891,434786,262.93,206.09,30.095052,33328,378714,261.00,193.55,31.101899,31537,376037,268.92,195.35
12,27.141295,36493,471279,272.69,221.70,30.291855,32231,410945,269.51,202.72,30.913903,32570,408607,278.89,207.05
13,26.455338,37635,508914,280.77,235.23,31.099669,32171,443116,277.64,214.33,34.063775,28945,437552,286.82,219.04
14,27.372839,35957,544871,288.69,244.26,29.356653,32656,475772,285.47,229.55,32.368854,30235,467787,293.38,230.60
15,27.026356,36961,581832,295.21,259.41,31.403200,32188,507960,292.23,244.02,33.346303,29887,497674,300.54,240.90
16,27.718652,35568,617400,301.87,274.10,29.610271,33208,541168,298.10,255.24,32.676728,30295,527969,306.75,253.90
17,26.521371,37696,655096,307.68,286.13,31.607419,30798,571966,303.72,263.56,31.883123,30878,558847,312.38,264.31
18,26.471980,37638,692734,312.81,296.15,31.555899,32211,604177,308.84,276.59,31.730614,31041,589888,317.18,273.42
19,27.526690,36076,728810,318.41,311.00,30.626685,32175,636352,313.76,290.96,32.183547,30747,620635,322.18,284.43
20,26.369776,37451,766261,323.04,329.99,29.948233,32242,668594,318.21,303.21,32.748568,30515,651150,327.29,298.82
21,26.886007,36845,803106,327.18,341.40,30.000362,31878,700472,322.64,320.94,32.455902,30151,681301,330.99,307.61
22,27.937852,35106,838212,331.27,354.37,31.683563,32285,732757,326.04,328.75,33.316143,30201,711502,335.15,321.12
23,28.814872,35210,873422,334.29,363.17,32.864938,30879,763636,329.63,343.77,30.453787,31484,742986,338.70,330.09
24,26.624863,36788,910210,338.09,377.47,33.206805,30118,793754,332.53,352.16,32.349069,31223,774209,342.00,340.84
25,28.394340,35422,945632,341.27,392.54,31.818718,30716,824470,335.29,361.33,33.535666,29819,804028,345.52,352.67
26,28.993905,34314,979946,343.63,410.50,32.012898,31114,855584,338.79,378.52,31.071179,31819,835847,348.13,362.69
27,27.916558,35545,1015491,346.67,420.72,29.404974,33813,889397,341.16,389.53,38.491020,25693,861540,351.04,377.38
28,27.437514,33492,1048983,348.74,428.43,32.751766,30229,919626,343.82,394.12,28.705488,33851,895391,353.95,385.82
29,32.739904,31631,1080614,351.11,444.24,31.002767,31722,951348,345.79,402.44,36.408141,27836,923227,356.29,395.94
30,28.122924,36671,1117285,352.84,458.01,31.116238,31649,982997,348.27,419.96,31.346126,31694,954921,358.73,406.34
31,27.584472,35089,1152374,354.73,469.88,33.503713,29472,1012469,350.29,431.71,30.988707,31263,986184,361.21,415.77
32,33.007486,30937,1183311,356.58,482.56,30.331951,32919,1045388,352.71,441.77,36.927542,27108,1013292,363.31,426.63
33,25.611716,38714,1222025,358.43,499.50,29.646319,33591,1078979,354.89,459.15,32.375903,30861,1044153,365.04,439.71
34,27.196166,36595,1258620,360.80,505.61,34.498202,28722,1107701,356.85,468.35,31.945545,30844,1074997,367.06,449.11
35,27.588048,34831,1293451,362.82,520.96,30.180066,32764,1140465,358.75,478.20,32.915092,30407,1105404,368.84,462.71
36,31.091320,33159,1326610,364.62,534.48,29.647855,33335,1173800,360.77,485.47,32.981551,27912,1133316,370.53,472.73
37,28.514887,34834,1361444,366.15,547.59,30.518283,32606,1206406,362.62,496.53,34.254111,31168,1164484,372.59,485.22
38,26.916103,36457,1397901,367.68,558.37,30.835889,31281,1237687,364.07,513.37,31.743237,31148,1195632,373.85,496.47
39,27.884875,35629,1433530,368.92,570.90,31.582238,31599,1269286,365.57,524.36,31.934304,30580,1226212,375.40,502.08
40,28.241071,35205,1468735,370.39,580.79,31.788254,29755,1299041,367.13,537.44,33.836657,30488,1256700,376.71,517.37
41,26.905668,37167,1505902,371.88,592.43,31.300893,33728,1332769,368.73,546.17,32.634304,30513,1287213,378.34,528.79
42,27.092961,36951,1542853,373.37,608.44,29.792751,32138,1364907,369.85,554.72,31.872487,30967,1318180,380.08,536.78
43,27.990504,35423,1578276,374.79,624.08,31.546510,32285,1397192,371.31,568.24,34.249168,28713,1346893,381.35,550.75
44,29.295564,34164,1612440,375.75,640.78,31.832988,31143,1428335,372.72,577.90,34.591464,28648,1375541,382.16,560.40
45,27.984948,35194,1647634,376.68,650.18,30.468322,31349,1459684,373.69,590.43,30.924557,31522,1407063,382.91,568.14
46,27.571825,35918,1683552,377.83,661.93,32.570055,31474,1491158,374.89,604.18,33.754104,29447,1436510,383.98,579.28
47,27.275719,37065,1720617,379.20,670.73,29.946325,32069,1523227,375.77,615.64,36.921076,27051,1463561,385.16,593.23
48,29.333843,34003,1754620,380.55,690.74,31.301516,31109,1554336,377.14,627.33,35.718601,27714,1491275,385.95,608.12
49,29.286372,33868,1788488,381.29,702.02,28.339515,34075,1588411,378.40,637.29,30.163831,32730,1524005,386.47,615.23
50,27.771546,35358,1823846,382.02,715.14,32.446662,33139,1621550,379.33,644.35,34.970588,28534,1552539,387.82,628.53
51,30.018212,33652,1857498,383.30,726.55,31.346622,30760,1652310,380.09,661.42,29.852114,32065,1584604,388.97,638.62
52,29.989932,33147,1890645,384.13,735.22,33.915217,29271,1681581,381.02,669.58,33.125164,29135,1613739,389.37,649.59
53,24.120160,40170,1930815,384.81,749.66,30.392344,33345,1714926,382.20,679.52,32.928844,32105,1645844,390.25,659.17
54,29.648577,34409,1965224,385.63,761.66,31.681144,29840,1744766,383.04,696.76,33.357011,29804,1675648,391.56,673.31
55,30.897377,32268,1997492,386.37,774.88,32.251618,31758,1776524,384.07,708.02,33.425074,29508,1705156,392.04,681.03
56,23.620694,2508,,,,26.842391,37358,1813882,384.92,712.77,33.152275,30136,1735292,392.55,691.68
57,,,,,,32.641685,29930,1843812,385.62,728.65,29.457351,31350,1766642,394.11,706.32
58,,,,,,31.245112,32241,1876053,386.36,733.87,30.689609,32952,1799594,394.52,717.19
59,,,,,,33.647215,29705,1905758,387.02,749.66,33.157415,30679,1830273,395.33,725.93
60,,,,,,27.972111,30865,1936623,388.01,763.06,34.095897,28663,1858936,396.45,741.59
61,,,,,,30.035351,37411,1974034,388.93,765.58,31.111820,31106,1890042,396.77,753.14
62,,,,,,35.952236,25966,,,,28.754829,36290,1926332,398.06,761.70
63,,,,,,,,,,,34.531257,28912,1955244,398.53,768.67
64,,,,,,,,,,,33.178143,29718,1984962,399.11,784.48
65,,,,,,,,,,,29.367038,15038,,,
