second,avg_latency_ms_etcd_v3,throughput_etcd_v3,cumulative_throughput_etcd_v3,avg_cpu_etcd_v3,avg_memory_mb_etcd_v3
0,27.777665,6974,6974,2.92,22.11
1,27.798435,35316,42290,53.62,76.37
2,33.083603,29655,71945,93.18,86.90
3,33.610645,29491,101436,129.23,98.12
4,34.798723,28823,130259,157.64,109.99
5,34.142057,28891,159150,181.85,118.54
6,35.421337,27871,187021,202.81,131.43
7,36.105365,27491,214512,220.76,141.07
8,38.415635,25768,240280,234.31,150.47
9,36.760611,27464,267744,248.05,161.88
10,39.561899,24932,292676,258.29,170.90
11,38.410923,25908,318584,268.42,180.96
12,41.093239,23743,342327,275.87,188.00
13,37.080478,26901,369228,284.05,201.46
14,37.459360,26615,395843,291.59,211.72
15,36.720280,26328,422171,298.69,224.24
16,36.877166,27362,449533,305.99,229.84
17,38.516999,25561,475094,310.97,239.73
18,42.445388,23260,498354,315.41,248.63
19,38.377479,26228,524582,320.17,262.67
20,38.960092,24351,548933,324.27,268.58
21,41.841432,24732,573665,327.59,276.35
22,34.340394,28644,602309,333.07,286.49
23,38.385568,25408,627717,337.07,294.66
24,39.024755,24881,652598,340.10,304.57
25,38.218427,27175,679773,343.49,314.10
26,37.815272,26019,705792,347.08,325.31
27,37.745278,26070,731862,349.53,336.58
28,40.624025,24767,756629,351.87,342.44
29,36.432512,27096,783725,355.21,348.38
30,38.817402,25287,809012,358.01,360.41
31,40.820014,24937,833949,359.73,369.85
32,38.442566,25683,859632,361.54,375.65
33,41.906911,23974,883606,363.87,390.25
34,37.660859,26083,909689,366.22,398.18
35,35.989185,27224,936913,368.46,408.44
36,41.295199,24171,961084,369.59,415.71
37,39.165757,24635,985719,371.32,426.13
38,36.758846,28296,1014015,373.48,436.58
39,38.363456,25963,1039978,375.59,453.55
40,35.532367,27300,1067278,377.03,457.98
41,39.593830,24385,1091663,378.54,468.01
42,37.272607,28027,1119690,380.38,477.47
43,34.568429,28260,1147950,382.09,485.11
44,40.452339,25126,1173076,384.13,499.60
45,35.229144,28083,1201159,385.78,510.25
46,37.448520,26339,1227498,387.01,519.64
47,35.709975,27883,1255381,388.37,523.77
48,37.745288,25954,1281335,389.52,530.88
49,37.515754,25354,1306689,390.73,546.04
50,37.549468,26394,1333083,391.68,553.48
51,37.402506,26891,1359974,392.48,558.72
52,36.446541,26516,1386490,393.39,565.09
53,36.923661,27862,1414352,394.76,579.10
54,37.684033,26876,1441228,396.12,586.94
55,39.320957,25174,1466402,397.16,599.80
56,37.965472,27207,1493609,397.72,604.90
57,43.217268,22927,1516536,398.96,615.43
58,35.132478,27522,1544058,399.50,625.67
59,38.589985,25939,1569997,400.29,632.55
60,41.622483,23699,1593696,401.54,643.92
61,37.326421,26947,1620643,402.21,655.66
62,41.898300,24041,1644684,402.77,661.74
63,39.801931,23802,1668486,403.56,670.73
64,42.077263,24738,1693224,403.63,681.28
65,41.706671,22749,1715973,404.09,685.76
66,47.209476,22217,1738190,404.51,698.77
67,32.559859,29440,1767630,404.77,707.50
68,46.258960,20036,1787666,405.90,714.36
69,48.868879,22350,1810016,406.29,725.85
70,41.885362,23928,1833944,406.34,730.01
71,43.554118,20484,1854428,406.19,741.04
72,51.373787,21367,1875795,406.08,752.39
73,40.025842,24809,1900604,406.09,757.22
74,40.949078,22746,1923350,406.24,763.53
75,48.598594,21538,1944888,406.58,772.23
76,45.762921,19482,1964370,406.65,783.04
77,36.557460,30126,1994496,406.71,789.43
78,25.773767,5504,,,
